"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 09, 2018","550.50","550.50","550.50","550.50","-","1.76%"
"Apr 06, 2018","541.00","541.00","541.00","541.00","-","0.00%"
"Apr 05, 2018","541.00","541.00","541.00","541.00","0.08K","-1.28%"
"Apr 04, 2018","548.00","548.00","548.00","548.00","0.02K","-0.36%"
"Apr 03, 2018","550.00","550.00","550.00","550.00","-","-5.85%"
"Mar 29, 2018","584.17","584.17","584.17","584.17","-","0.11%"
"Mar 28, 2018","583.50","583.50","583.50","583.50","0.02K","0.17%"
"Mar 27, 2018","582.50","582.50","582.50","582.50","0.02K","-0.43%"
"Mar 26, 2018","585.00","585.00","585.00","585.00","0.00K","-0.34%"
"Mar 23, 2018","587.00","587.00","587.00","587.00","0.09K","-0.17%"
"Mar 22, 2018","588.00","588.00","588.00","588.00","0.01K","-0.84%"
"Mar 21, 2018","593.00","593.00","593.00","593.00","0.15K","-0.17%"
"Mar 20, 2018","594.00","594.00","594.00","594.00","0.05K","0.00%"
"Mar 19, 2018","594.00","594.00","594.00","594.00","-","0.00%"
"Mar 16, 2018","594.00","594.00","594.00","594.00","-","0.00%"
"Mar 15, 2018","594.00","594.00","594.00","594.00","0.02K","0.34%"
"Mar 14, 2018","592.00","592.00","592.00","592.00","-","0.00%"
"Mar 13, 2018","592.00","592.00","592.00","592.00","-","0.00%"
"Mar 12, 2018","592.00","592.00","592.00","592.00","-","0.00%"
"Mar 09, 2018","592.00","592.00","592.00","592.00","-","0.00%"
"Mar 08, 2018","592.00","592.00","592.00","592.00","0.05K","-1.50%"
"Mar 07, 2018","601.00","601.00","601.00","601.00","0.02K","0.00%"
"Mar 06, 2018","601.00","601.00","601.00","601.00","0.03K","0.17%"
"Mar 05, 2018","600.00","600.00","600.00","600.00","-","-0.17%"
"Mar 02, 2018","601.00","601.00","601.00","601.00","0.38K","0.17%"
"Mar 01, 2018","600.00","600.00","600.00","600.00","0.22K","5.73%"
"Feb 28, 2018","567.48","567.48","567.48","567.48","-","-0.09%"
"Feb 27, 2018","568.00","568.00","568.00","568.00","-","0.00%"
"Feb 26, 2018","568.00","568.00","568.00","568.00","-","0.00%"
"Feb 23, 2018","568.00","568.00","568.00","568.00","-","0.00%"
"Feb 22, 2018","568.00","568.00","568.00","568.00","-","-0.35%"
"Feb 21, 2018","570.00","570.00","570.00","570.00","-","0.00%"
"Feb 20, 2018","570.00","570.00","570.00","570.00","-","0.00%"
"Feb 19, 2018","570.00","570.00","570.00","570.00","-","0.00%"
"Feb 16, 2018","570.00","570.00","570.00","570.00","-","-0.26%"
"Feb 15, 2018","571.50","571.50","571.50","571.50","0.10K","0.00%"
"Feb 14, 2018","571.50","571.50","571.50","571.50","-","0.00%"
"Feb 13, 2018","571.50","571.50","571.50","571.50","-","0.00%"
"Feb 12, 2018","571.50","571.50","571.50","571.50","0.12K","0.09%"
"Feb 09, 2018","571.00","571.00","571.00","571.00","0.09K","1.42%"
"Feb 08, 2018","563.00","563.00","563.00","563.00","0.02K","0.00%"
"Feb 07, 2018","563.00","563.00","563.00","563.00","0.02K","0.54%"
"Feb 06, 2018","560.00","560.00","560.00","560.00","-","0.00%"
"Feb 05, 2018","560.00","560.00","560.00","560.00","0.03K","3.70%"
"Feb 02, 2018","540.00","540.00","540.00","540.00","-","0.00%"
"Feb 01, 2018","540.00","540.00","540.00","540.00","0.03K","-4.39%"
"Jan 31, 2018","564.80","564.80","564.80","564.80","-","0.14%"
"Jan 30, 2018","564.00","564.00","564.00","564.00","-","0.00%"
"Jan 29, 2018","564.00","564.00","564.00","564.00","0.27K","0.00%"
"Jan 26, 2018","564.00","564.00","564.00","564.00","0.05K","-0.18%"
"Jan 25, 2018","565.00","565.00","565.00","565.00","0.02K","0.18%"
"Jan 24, 2018","564.00","564.00","564.00","564.00","-","0.00%"
"Jan 23, 2018","564.00","564.00","564.00","564.00","-","0.00%"
"Jan 22, 2018","564.00","564.00","564.00","564.00","-","0.00%"
"Jan 19, 2018","564.00","564.00","564.00","564.00","-","0.00%"
"Jan 18, 2018","564.00","564.00","564.00","564.00","-","0.00%"
"Jan 17, 2018","564.00","564.00","564.00","564.00","-","0.00%"
"Jan 16, 2018","564.00","564.00","564.00","564.00","0.09K","0.00%"
"Jan 15, 2018","564.00","564.00","564.00","564.00","0.08K","-1.66%"
"Jan 12, 2018","573.50","573.50","573.50","573.50","-","0.00%"
"Jan 11, 2018","573.50","573.50","573.50","573.50","-","0.00%"
"Jan 10, 2018","573.50","573.50","573.50","573.50","0.05K","1.15%"
"Jan 09, 2018","567.00","567.00","567.00","567.00","-","0.53%"
"Jan 08, 2018","564.00","564.00","564.00","564.00","-","0.53%"
"Jan 05, 2018","561.00","561.00","561.00","561.00","-","0.00%"
"Jan 04, 2018","561.00","561.00","561.00","561.00","-","0.00%"
"Jan 03, 2018","561.00","561.00","561.00","561.00","-","0.36%"
"Jan 02, 2018","559.00","559.00","559.00","559.00","-","0.00%"
"Dec 29, 2017","559.00","559.00","559.00","559.00","-","0.00%"
"Dec 28, 2017","559.00","559.00","559.00","559.00","-","1.54%"
"Dec 27, 2017","550.50","550.50","550.50","550.50","-","0.00%"
"Dec 22, 2017","550.50","550.50","550.50","550.50","-","0.00%"
"Dec 21, 2017","550.50","550.50","550.50","550.50","-","0.00%"
"Dec 20, 2017","550.50","550.50","550.50","550.50","-","0.00%"
"Dec 19, 2017","550.50","550.50","550.50","550.50","-","0.00%"
"Dec 18, 2017","550.50","550.50","550.50","550.50","-","0.00%"
"Dec 15, 2017","550.50","550.50","550.50","550.50","-","0.27%"
"Dec 14, 2017","549.00","549.00","549.00","549.00","-","0.00%"
"Dec 13, 2017","549.00","549.00","549.00","549.00","-","0.00%"
"Dec 12, 2017","549.00","549.00","549.00","549.00","-","0.00%"
"Dec 11, 2017","549.00","549.00","549.00","549.00","0.03K","-1.08%"
"Dec 08, 2017","555.00","555.00","555.00","555.00","-","0.00%"
"Dec 07, 2017","555.00","555.00","555.00","555.00","-","0.00%"
"Dec 06, 2017","555.00","555.00","555.00","555.00","-","0.00%"
"Dec 05, 2017","555.00","555.00","555.00","555.00","-","0.00%"
"Dec 04, 2017","555.00","555.00","555.00","555.00","-","0.00%"
"Dec 01, 2017","555.00","555.00","555.00","555.00","-","0.00%"
"Nov 30, 2017","555.00","555.00","555.00","555.00","0.21K","6.73%"
"Nov 29, 2017","520.00","520.00","520.00","520.00","-","0.00%"
"Nov 28, 2017","520.00","520.00","520.00","520.00","-","0.00%"
"Nov 27, 2017","520.00","520.00","520.00","520.00","-","-0.19%"
