Date,Price,Open,High,Low,Vol.,Change %
8-Jan-15,101.81,101.24,102.12,101.05,34.09K,0.85%
7-Jan-15,100.95,100.55,102.18,99.99,51.84K,0.91%
6-Jan-15,100.04,100.83,101.02,100.04,42.77K,-1.41%
5-Jan-15,101.47,101.14,101.62,100.3,28.47K,0.32%
31-Dec-14,101.15,101.57,101.91,100.88,24.56K,-0.40%
30-Dec-14,101.56,101.82,102.35,101.56,30.65K,-0.38%
29-Dec-14,101.95,101.7,102.44,101.55,40.46K,0.12%
27-Dec-14,101.83,101.62,101.85,101.3,25.12K,0.08%
26-Dec-14,101.75,100.84,101.91,100.66,54.63K,0.77%
25-Dec-14,100.97,101.01,101.12,100.57,33.17K,-0.04%
24-Dec-14,101.01,99.61,101.01,99.6,57.56K,1.41%
23-Dec-14,99.61,99.42,100.11,99.33,31.96K,0.18%
22-Dec-14,99.43,99.52,99.79,99.31,27.92K,-0.09%
19-Dec-14,99.52,98.86,99.52,98.66,44.76K,0.93%
18-Dec-14,98.6,98.42,98.9,97.99,29.82K,0.85%
17-Dec-14,97.77,98.68,99.15,97.77,39.13K,-1.05%
16-Dec-14,98.81,98.54,99.42,98.32,30.07K,0.27%
15-Dec-14,98.54,98.64,98.87,98.24,24.27K,-0.23%
12-Dec-14,98.77,99.09,99.32,98.74,23.22K,0.08%
11-Dec-14,98.69,98.62,99.33,98.28,21.42K,0.05%
10-Dec-14,98.64,99.91,99.94,98.59,29.34K,-1.41%
9-Dec-14,100.05,99.96,100.26,99.66,26.41K,-0.17%
8-Dec-14,100.22,100.49,100.49,99.94,31.29K,-0.29%
5-Dec-14,100.51,99.42,100.62,99.42,55.38K,0.57%
4-Dec-14,99.94,99.88,100.05,99.45,29.55K,0.08%
3-Dec-14,99.86,99.05,99.9,98.18,44.24K,1.13%
2-Dec-14,98.74,97.96,98.74,97.82,32.00K,0.54%
1-Dec-14,98.21,98.06,98.58,97.47,26.90K,-0.91%
28-Nov-14,99.11,98.54,99.33,98.51,31.54K,0.06%
27-Nov-14,99.05,98.87,99.18,98.78,27.22K,0.18%
26-Nov-14,98.87,98.89,99.27,98.36,36.58K,0.40%
25-Nov-14,98.48,99.02,99.02,98.48,42.53K,-0.55%
24-Nov-14,99.02,97.8,99.08,97.8,53.59K,1.25%
21-Nov-14,97.8,98.52,98.55,97.8,19.81K,-0.71%
20-Nov-14,98.5,98.13,98.54,98.04,26.15K,0.38%
19-Nov-14,98.13,97.59,98.4,97.2,44.81K,0.42%
18-Nov-14,97.72,97.76,98.02,96.95,25.02K,-0.04%
17-Nov-14,97.76,98.14,98.31,97.31,27.18K,-0.39%
14-Nov-14,98.14,98.03,98.29,97.64,18.93K,0.11%
13-Nov-14,98.03,98.34,98.46,97.56,22.38K,-0.18%
12-Nov-14,98.21,99,99,97.48,23.21K,-0.80%
11-Nov-14,99,99.35,99.35,98.84,22.35K,-0.48%
10-Nov-14,99.48,98.43,99.6,98.43,30.18K,1.07%
7-Nov-14,98.43,99.19,99.32,98.43,21.73K,-0.64%
6-Nov-14,99.06,99.15,99.34,98.74,18.35K,-0.09%
5-Nov-14,99.15,98.96,99.29,98.52,23.47K,0.19%
4-Nov-14,98.96,99.58,99.68,98.94,32.11K,-0.62%
3-Nov-14,99.58,99.81,99.9,99.13,30.81K,-0.23%
31-Oct-14,99.81,99.19,99.81,98.98,34.76K,0.76%
30-Oct-14,99.06,99.1,99.12,98.47,20.71K,-0.04%
29-Oct-14,99.1,98.61,99.12,98.6,29.68K,0.76%
28-Oct-14,98.35,98.32,98.93,98.32,31.28K,0.30%
27-Oct-14,98.06,98.16,98.32,97.52,29.00K,-0.10%
24-Oct-14,98.16,98.6,98.6,97.55,26.55K,-0.45%
23-Oct-14,98.6,99.04,99.04,98.27,18.01K,-0.44%
22-Oct-14,99.04,98.69,99.08,98.27,27.72K,0.50%
21-Oct-14,98.55,98.3,98.55,97.64,31.82K,0.91%
20-Oct-14,97.66,97.3,98.23,97.3,38.94K,0.86%
17-Oct-14,96.83,99.37,99.4,96.83,86.55K,-2.43%
16-Oct-14,99.24,99.13,99.5,98.43,57.82K,-0.02%
15-Oct-14,99.26,99.26,99.64,98.5,53.43K,0.00%
14-Oct-14,99.26,98.6,99.26,98.39,31.09K,0.40%
13-Oct-14,98.86,99.5,100.06,98.86,37.21K,-1.67%
9-Oct-14,100.54,99.9,100.54,99.85,32.67K,0.64%
8-Oct-14,99.9,100.17,100.33,99.74,27.22K,-0.41%
7-Oct-14,100.31,99.76,100.31,99.18,29.24K,0.55%
6-Oct-14,99.76,100.25,100.25,99.6,26.51K,-0.08%
3-Oct-14,99.84,99.42,100.23,99.39,29.15K,0.42%
2-Oct-14,99.42,100.62,100.62,99.32,43.44K,-1.19%
1-Oct-14,100.62,101.2,101.2,99.88,27.21K,-0.75%
30-Sep-14,101.38,100.31,101.38,99.24,47.12K,1.07%
29-Sep-14,100.31,101.39,101.39,100.31,34.14K,-1.06%
26-Sep-14,101.38,101.59,101.59,100.91,25.92K,-0.59%
25-Sep-14,101.98,102.71,102.8,101.48,30.87K,-0.70%
24-Sep-14,102.7,101.74,102.7,101.59,31.42K,0.91%
23-Sep-14,101.77,103.02,103.07,101.73,47.76K,-1.34%
22-Sep-14,103.15,103.56,103.56,102.14,35.92K,-0.52%
19-Sep-14,103.69,104.11,104.24,103.36,36.39K,-0.13%
18-Sep-14,103.82,102.6,104.13,102.56,65.82K,1.20%
17-Sep-14,102.59,101.7,102.9,101.7,49.14K,0.90%
16-Sep-14,101.67,102.61,102.61,101.56,36.68K,-0.92%
