ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,High,High_lower,High_upper,Low,Low_lower,Low_upper,Open,Open_lower,Open_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-04-09,99.70577600098052,75.77511715028993,78.05300387379444,99.28308430168968,100.1082302127042,-19.951187690569377,-19.951187690569377,-19.951187690569377,-16.407834718403375,-16.407834718403375,-16.407834718403375,13.967568832009654,13.967568832009654,13.967568832009654,-22.81821706945905,-22.81821706945905,-22.81821706945905,-22.391453576963094,-22.391453576963094,-22.391453576963094,-0.5453087274516843,-0.5453087274516843,-0.5453087274516843,0.11854523495572794,0.11854523495572794,0.11854523495572794,0.0,0.0,0.0,76.88755893152147
2020-04-10,99.71012844802695,76.49029328850355,78.65383205790117,99.27843525340043,100.11736655311792,-19.34143616294343,-19.34143616294343,-19.34143616294343,-15.375187359382615,-15.375187359382615,-15.375187359382615,12.99181530926392,12.99181530926392,12.99181530926392,-22.149262624205182,-22.149262624205182,-22.149262624205182,-21.724808213062126,-21.724808213062126,-21.724808213062126,-0.5401923331866767,-0.5401923331866767,-0.5401923331866767,0.1157379220436203,0.1157379220436203,0.1157379220436203,0.0,0.0,0.0,77.56086582382177
2020-04-13,99.72318578916625,76.88231237488759,79.1561268461233,99.26292899320444,100.14340892908137,-19.097535551893053,-19.097535551893053,-19.097535551893053,-15.209963781939305,-15.209963781939305,-15.209963781939305,13.00509086739652,13.00509086739652,13.00509086739652,-21.753636718223,-21.753636718223,-21.753636718223,-21.30240846643584,-21.30240846643584,-21.30240846643584,-0.5580997562720094,-0.5580997562720094,-0.5580997562720094,0.10687150448484513,0.10687150448484513,0.10687150448484513,0.0,0.0,0.0,77.96954907094326
2020-04-14,99.72753823621268,76.53553532915188,78.74542738870485,99.25767090300951,100.15334329638361,-19.123667760219863,-19.123667760219863,-19.123667760219863,-15.08604609885681,-15.08604609885681,-15.08604609885681,12.467430763026416,12.467430763026416,12.467430763026416,-22.075180249430165,-22.075180249430165,-22.075180249430165,-21.74228309605026,-21.74228309605026,-21.74228309605026,-0.43632036262962876,-0.43632036262962876,-0.43632036262962876,0.10342320924972236,0.10342320924972236,0.10342320924972236,0.0,0.0,0.0,77.65235798678252
2020-04-15,99.73189068325911,76.92695291595432,79.28740064675364,99.25245015538452,100.1616783745207,-19.010428190803623,-19.010428190803623,-19.010428190803623,-15.019956667879486,-15.019956667879486,-15.019956667879486,12.799319716341294,12.799319716341294,12.799319716341294,-21.636280476726387,-21.636280476726387,-21.636280476726387,-21.231065142341816,-21.231065142341816,-21.231065142341816,-0.5047506353692697,-0.5047506353692697,-0.5047506353692697,0.09953530098469585,0.09953530098469585,0.09953530098469585,0.0,0.0,0.0,78.09561020653273
2020-04-16,99.73624313030554,78.14831986614902,80.44806494495751,99.2510370302164,100.17484465845789,-17.895453968859048,-17.895453968859048,-17.895453968859048,-14.350801179234038,-14.350801179234038,-14.350801179234038,12.314761844501572,12.314761844501572,12.314761844501572,-20.381713360608558,-20.381713360608558,-20.381713360608558,-19.931493303591513,-19.931493303591513,-19.931493303591513,-0.5453087274497908,-0.5453087274497908,-0.5453087274497908,0.09508867043274552,0.09508867043274552,0.09508867043274552,0.0,0.0,0.0,79.35452976969698
2020-04-17,99.74059557735197,77.150228881659,79.42742614454055,99.24915606455528,100.1875308473221,-18.04353648271106,-18.04353648271106,-18.04353648271106,-14.549069472166018,-14.549069472166018,-14.549069472166018,11.644346158805524,11.644346158805524,11.644346158805524,-21.39848326550308,-21.39848326550308,-21.39848326550308,-20.948259796071554,-20.948259796071554,-20.948259796071554,-0.5401923331912354,-0.5401923331912354,-0.5401923331912354,0.08996886375970069,0.08996886375970069,0.08996886375970069,0.0,0.0,0.0,78.3421123118489
2020-04-20,99.75365291849127,78.29463980213826,80.62986135110035,99.24049999875676,100.21371268983114,-17.79092513555173,-17.79092513555173,-17.79092513555173,-14.218622317279387,-14.218622317279387,-14.218622317279387,12.20191960037452,12.20191960037452,12.20191960037452,-20.296128698245216,-20.296128698245216,-20.296128698245216,-19.807627852456598,-19.807627852456598,-19.807627852456598,-0.5580997562730995,-0.5580997562730995,-0.5580997562730995,0.06959891048447987,0.06959891048447987,0.06959891048447987,0.0,0.0,0.0,79.45752422024606
2020-04-21,99.7580053655377,77.51320286532203,79.90046686152364,99.24171221517507,100.22544325296282,-18.400676663177673,-18.400676663177673,-18.400676663177673,-14.392107073594865,-14.392107073594865,-14.392107073594865,12.21519515850711,12.21519515850711,12.21519515850711,-20.95300399367024,-20.95300399367024,-20.95300399367024,-20.57758857826543,-20.57758857826543,-20.57758857826543,-0.4363203626307945,-0.4363203626307945,-0.4363203626307945,0.060904947225985426,0.060904947225985426,0.060904947225985426,0.0,0.0,0.0,78.80500137186746
2020-04-22,99.76235781258413,75.2559685408937,77.56353988886165,99.24214353557004,100.23693421818353,-19.027849663021517,-19.027849663021517,-19.027849663021517,-16.1104322790054,-16.1104322790054,-16.1104322790054,12.328037402634171,12.328037402634171,12.328037402634171,-23.263793916656418,-23.263793916656418,-23.263793916656418,-22.810244539392745,-22.810244539392745,-22.810244539392745,-0.5047506353742881,-0.5047506353742881,-0.5047506353742881,0.051201258110611984,0.051201258110611984,0.051201258110611984,0.0,0.0,0.0,76.4985638959277
