ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-06-28,107.31145196938569,84.23673456181825,126.68823042914285,86.07680314750368,128.90386689055316,-2.4666307431498984,-2.4666307431498984,-2.4666307431498984,-1.4594091166557037,-1.4594091166557037,-1.4594091166557037,-1.0072216264941942,-1.0072216264941942,-1.0072216264941942,0.0,0.0,0.0,104.8448212262358
2020-06-29,107.33622097844528,85.45385121325795,128.5751030159964,85.85719838915307,129.1317827574188,-0.8434966085990554,-0.8434966085990554,-0.8434966085990554,0.13000996157854264,0.13000996157854264,0.13000996157854264,-0.9735065701775981,-0.9735065701775981,-0.9735065701775981,0.0,0.0,0.0,106.49272436984623
2020-06-30,107.36098998750491,84.89711322854836,128.8354025925717,85.81319879195033,129.35969862428453,-0.6907969896038957,-0.6907969896038957,-0.6907969896038957,0.2399520080833239,0.2399520080833239,0.2399520080833239,-0.9307489976872195,-0.9307489976872195,-0.9307489976872195,0.0,0.0,0.0,106.67019299790101
2020-07-01,107.38575899656453,84.5432902773968,129.327519190131,85.53949191545493,129.58761449115028,-0.6659390272591811,-0.6659390272591811,-0.6659390272591811,0.21359972206073657,0.21359972206073657,0.21359972206073657,-0.8795387493199176,-0.8795387493199176,-0.8795387493199176,0.0,0.0,0.0,106.71981996930535
2020-07-02,107.41052800562414,84.75345020506053,128.76091944609158,85.37139235477456,129.815530358016,-0.6041382112063568,-0.6041382112063568,-0.6041382112063568,0.21650507435382865,0.21650507435382865,0.21650507435382865,-0.8206432855601855,-0.8206432855601855,-0.8206432855601855,0.0,0.0,0.0,106.80638979441778
2020-07-03,107.43529701468375,84.34899722469116,129.02411805114582,85.23581975113382,130.04421239426455,-0.5731222678175381,-0.5731222678175381,-0.5731222678175381,0.18186558776647868,0.18186558776647868,0.18186558776647868,-0.7549878555840167,-0.7549878555840167,-0.7549878555840167,0.0,0.0,0.0,106.86217474686622
2020-07-04,107.46006602374338,84.71679561873458,130.20753146865061,85.05836502298932,130.26178530019433,-0.2061553896443261,-0.2061553896443261,-0.2061553896443261,0.47747676281924756,0.47747676281924756,0.47747676281924756,-0.6836321524635737,-0.6836321524635737,-0.6836321524635737,0.0,0.0,0.0,107.25391063409906
2020-07-05,107.48483503280298,82.4721796543307,128.82128718503614,84.79986312631273,130.47317339074078,-2.0671532456473627,-2.0671532456473627,-2.0671532456473627,-1.4594091166562004,-1.4594091166562004,-1.4594091166562004,-0.6077441289911624,-0.6077441289911624,-0.6077441289911624,0.0,0.0,0.0,105.41768178715562
2020-07-06,107.5096040418626,83.72668522428765,130.16509466002168,84.59459061467454,130.6640113232468,-0.3985617504915626,-0.3985617504915626,-0.3985617504915626,0.13000996157418837,0.13000996157418837,0.13000996157418837,-0.5285717120657509,-0.5285717120657509,-0.5285717120657509,0.0,0.0,0.0,107.11104229137104
2020-07-07,107.53437305092221,84.25361794201399,130.83470799292323,84.4191325619396,130.8609181320798,-0.20746118822768875,-0.20746118822768875,-0.20746118822768875,0.2399520080842032,0.2399520080842032,0.2399520080842032,-0.44741319631189197,-0.44741319631189197,-0.44741319631189197,0.0,0.0,0.0,107.32691186269453
