id,c_name,c_date,c_price,c_open,c_high,c_low
5254,道瓊鋼鐵指數,2016-08-09,212.96,216.03,216.03,212.73
5255,道瓊鋼鐵指數,2016-08-08,216.79,217.7,218.4,215.42
5256,道瓊鋼鐵指數,2016-08-05,217.5,216.19,217.59,216.19
5257,道瓊鋼鐵指數,2016-08-04,216.14,218.05,218.05,214.68
5258,道瓊鋼鐵指數,2016-08-03,218.08,215.2,218.29,214.26
5259,道瓊鋼鐵指數,2016-08-02,215.94,218.06,218.23,214.05
5260,道瓊鋼鐵指數,2016-08-01,218.01,220.6,220.6,216.36
5261,道瓊鋼鐵指數,2016-07-29,220.61,220.76,222.19,218.58
5262,道瓊鋼鐵指數,2016-07-28,220.72,218.58,221.15,216.24
5263,道瓊鋼鐵指數,2016-07-27,218.47,217.85,222.33,216.65
5264,道瓊鋼鐵指數,2016-07-26,217.5,209.46,217.93,209.36
5265,道瓊鋼鐵指數,2016-07-25,209.69,210.61,211.9,208.32
5266,道瓊鋼鐵指數,2016-07-22,210.74,208.87,210.87,208.1
5267,道瓊鋼鐵指數,2016-07-21,208.96,215.05,216.37,207.79
5268,道瓊鋼鐵指數,2016-07-20,214.92,218.03,218.03,211.51
5269,道瓊鋼鐵指數,2016-07-19,218.76,223.4,223.4,216.36
5270,道瓊鋼鐵指數,2016-07-18,224.69,224.29,224.71,221.75
5271,道瓊鋼鐵指數,2016-07-15,224.51,224.09,225.2,223.23
5272,道瓊鋼鐵指數,2016-07-14,224.21,222.37,224.94,221.05
5273,道瓊鋼鐵指數,2016-07-13,222.09,221.96,223.24,218.67
5274,道瓊鋼鐵指數,2016-07-12,221.7,217.38,222.25,217.38
5275,道瓊鋼鐵指數,2016-07-11,215.53,210.89,215.75,210.89
5276,道瓊鋼鐵指數,2016-07-08,210.64,203.99,211.13,203.99
5277,道瓊鋼鐵指數,2016-07-07,203.73,202.25,205.55,201.8
5278,道瓊鋼鐵指數,2016-07-06,202.16,196.18,202.36,196.18
5279,道瓊鋼鐵指數,2016-07-05,196.32,200.63,200.63,194.84
5280,道瓊鋼鐵指數,2016-07-01,200.21,196.48,202.14,196.48
5281,道瓊鋼鐵指數,2016-06-30,196.51,188.91,196.52,188.91
5282,道瓊鋼鐵指數,2016-06-29,188.44,187.49,190.22,187.49
5283,道瓊鋼鐵指數,2016-06-28,186.32,183.74,186.6,183.41
5284,道瓊鋼鐵指數,2016-06-27,182.83,189.2,189.2,181.97
5285,道瓊鋼鐵指數,2016-06-24,189.2,201.63,201.63,188.51
5286,道瓊鋼鐵指數,2016-06-23,201.63,197.36,201.64,197.36
5287,道瓊鋼鐵指數,2016-06-22,197.36,199.13,200.91,196.53
5288,道瓊鋼鐵指數,2016-06-21,199.08,204.49,204.49,197.5
5289,道瓊鋼鐵指數,2016-06-20,204.5,200.02,205.7,200.02
5290,道瓊鋼鐵指數,2016-06-17,199.86,201.16,203.79,199.47
5291,道瓊鋼鐵指數,2016-06-16,201.09,200.14,201.22,196.65
5292,道瓊鋼鐵指數,2016-06-15,200.23,196.45,201.53,196.45
5293,道瓊鋼鐵指數,2016-06-14,196.21,198.3,199.72,194.91
5294,道瓊鋼鐵指數,2016-06-13,198.56,201.01,201.81,198.45
5295,道瓊鋼鐵指數,2016-06-10,200.72,201.01,202.34,198.94
5296,道瓊鋼鐵指數,2016-06-09,201.58,205.06,205.06,199.63
5297,道瓊鋼鐵指數,2016-06-08,205.76,200.44,207.09,200.44
5298,道瓊鋼鐵指數,2016-06-07,199.26,199.26,199.26,199.26
5299,道瓊鋼鐵指數,2016-06-06,198.94,196.17,199.14,196.17
5300,道瓊鋼鐵指數,2016-06-03,196.08,193.43,196.24,192.97
5301,道瓊鋼鐵指數,2016-06-02,193.06,191.29,193.08,189.54
5302,道瓊鋼鐵指數,2016-06-01,191.37,190.67,191.78,187.75
5303,道瓊鋼鐵指數,2016-05-31,190.87,190.17,193.38,189.64
5304,道瓊鋼鐵指數,2016-05-27,190.1,191.41,191.81,187.32
5305,道瓊鋼鐵指數,2016-05-26,191.43,190.76,195.14,190.33
5306,道瓊鋼鐵指數,2016-05-25,190.03,185.95,190.34,185.95
5307,道瓊鋼鐵指數,2016-05-24,185.93,184.88,187.43,184.41
5308,道瓊鋼鐵指數,2016-05-23,184.84,182.08,185.9,180.8
