c_name,c_date,c_price,c_open,c_high,c_low
道瓊鋼鐵指數,2020-02-24,209.62,211.6,211.79,208.09
道瓊鋼鐵指數,2020-02-21,214.96,210.9,215.23,210.3
道瓊鋼鐵指數,2020-02-20,212.51,215.15,215.69,210.0
道瓊鋼鐵指數,2020-02-19,215.05,213.15,216.05,213.02
道瓊鋼鐵指數,2020-02-18,212.48,211.33,213.46,210.68
道瓊鋼鐵指數,2020-02-14,212.11,215.01,215.31,211.17
道瓊鋼鐵指數,2020-02-13,215.01,215.16,216.75,214.44
道瓊鋼鐵指數,2020-02-12,216.75,219.82,220.39,216.13
道瓊鋼鐵指數,2020-02-11,217.24,215.74,219.81,215.74
道瓊鋼鐵指數,2020-02-10,214.37,213.12,215.8,212.87
道瓊鋼鐵指數,2020-02-07,214.22,216.5,216.98,213.77
道瓊鋼鐵指數,2020-02-06,218.63,222.82,222.82,218.0
道瓊鋼鐵指數,2020-02-05,220.49,220.14,220.99,217.87
道瓊鋼鐵指數,2020-02-04,217.03,215.67,218.21,214.98
道瓊鋼鐵指數,2020-02-03,212.68,211.75,214.19,211.38
道瓊鋼鐵指數,2020-01-31,210.95,214.71,215.35,210.69
道瓊鋼鐵指數,2020-01-30,217.24,213.07,217.35,212.42
道瓊鋼鐵指數,2020-01-29,214.4,216.91,219.21,214.35
道瓊鋼鐵指數,2020-01-28,217.16,223.39,223.48,216.75
道瓊鋼鐵指數,2020-01-27,215.91,217.13,218.42,214.54
道瓊鋼鐵指數,2020-01-24,220.25,224.58,224.58,217.92
道瓊鋼鐵指數,2020-01-23,225.34,225.11,225.4,219.36
道瓊鋼鐵指數,2020-01-22,225.76,227.15,227.21,225.14
道瓊鋼鐵指數,2020-01-21,226.05,233.2,233.2,225.18
道瓊鋼鐵指數,2020-01-17,233.83,234.18,234.99,231.84
道瓊鋼鐵指數,2020-01-16,233.11,234.52,235.03,232.44
道瓊鋼鐵指數,2020-01-15,233.57,235.25,236.15,232.41
道瓊鋼鐵指數,2020-01-14,235.98,233.23,236.53,232.99
道瓊鋼鐵指數,2020-01-13,233.66,231.97,235.74,231.08
道瓊鋼鐵指數,2020-01-10,230.71,234.27,235.02,230.2
道瓊鋼鐵指數,2020-01-09,234.8,236.52,236.8,232.69
道瓊鋼鐵指數,2020-01-08,236.22,236.06,238.6,235.77
道瓊鋼鐵指數,2020-01-07,236.51,234.08,238.37,233.99
道瓊鋼鐵指數,2020-01-06,235.02,235.41,238.2,234.19
道瓊鋼鐵指數,2020-01-03,236.32,236.82,237.79,235.26
道瓊鋼鐵指數,2020-01-02,238.97,244.25,244.65,237.92
道瓊鋼鐵指數,2019-12-31,242.13,241.24,243.93,241.13
道瓊鋼鐵指數,2019-12-30,241.78,243.51,243.83,241.56
道瓊鋼鐵指數,2019-12-27,243.93,245.13,245.29,243.34
道瓊鋼鐵指數,2019-12-26,244.55,245.34,245.89,242.29
道瓊鋼鐵指數,2019-12-24,244.62,245.22,246.85,244.25
道瓊鋼鐵指數,2019-12-23,244.75,244.66,245.56,243.84
道瓊鋼鐵指數,2019-12-20,244.95,245.96,247.13,243.29
道瓊鋼鐵指數,2019-12-19,245.17,247.53,247.99,244.9
道瓊鋼鐵指數,2019-12-18,247.23,247.36,247.73,244.74
道瓊鋼鐵指數,2019-12-17,247.49,243.26,247.97,243.21
道瓊鋼鐵指數,2019-12-16,243.11,248.37,248.8,242.86
道瓊鋼鐵指數,2019-12-13,246.95,251.56,252.77,246.35
道瓊鋼鐵指數,2019-12-12,252.46,250.45,254.65,246.95
道瓊鋼鐵指數,2019-12-11,251.46,251.38,253.56,250.86
道瓊鋼鐵指數,2019-12-10,251.0,250.3,253.11,250.05
道瓊鋼鐵指數,2019-12-09,251.41,252.34,254.48,251.41
道瓊鋼鐵指數,2019-12-06,250.71,248.38,252.08,248.17
道瓊鋼鐵指數,2019-12-05,245.54,243.82,245.63,242.03
道瓊鋼鐵指數,2019-12-04,243.28,243.35,246.28,243.15
道瓊鋼鐵指數,2019-12-03,241.85,243.3,243.3,238.51
道瓊鋼鐵指數,2019-12-02,245.98,245.0,247.76,244.55
道瓊鋼鐵指數,2019-11-29,243.86,245.39,245.78,243.16
道瓊鋼鐵指數,2019-11-27,246.23,245.05,246.47,243.42
道瓊鋼鐵指數,2019-11-26,244.53,243.5,245.37,242.16
道瓊鋼鐵指數,2019-11-25,242.89,240.24,244.43,238.83
道瓊鋼鐵指數,2019-11-22,239.12,237.55,240.3,237.55
道瓊鋼鐵指數,2019-11-21,235.58,236.1,237.27,233.89
道瓊鋼鐵指數,2019-11-20,235.58,234.78,239.36,234.08
道瓊鋼鐵指數,2019-11-19,236.42,241.18,241.19,236.07
道瓊鋼鐵指數,2019-11-18,239.23,235.85,239.26,234.26
道瓊鋼鐵指數,2019-11-15,236.6,236.02,238.19,235.69
道瓊鋼鐵指數,2019-11-14,234.31,234.56,236.84,233.98
道瓊鋼鐵指數,2019-11-13,235.79,238.12,239.1,235.77
道瓊鋼鐵指數,2019-11-12,239.43,240.43,242.59,238.79
道瓊鋼鐵指數,2019-11-11,240.33,238.08,240.69,236.06
道瓊鋼鐵指數,2019-11-08,240.38,238.16,240.68,236.8
道瓊鋼鐵指數,2019-11-07,239.91,239.8,241.44,238.8
道瓊鋼鐵指數,2019-11-06,237.0,238.13,238.29,236.06
