ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,High,High_lower,High_upper,Low,Low_lower,Low_upper,Open,Open_lower,Open_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2009-12-01,215.8598816068378,234.6317419143596,251.69465246827875,215.8598816068378,215.8598816068378,17.075684408431016,17.075684408431016,17.075684408431016,9.445635822054646,9.445635822054646,9.445635822054646,-1.1915240575150448,-1.1915240575150448,-1.1915240575150448,27.0533479800077,27.0533479800077,27.0533479800077,25.32979617297061,25.32979617297061,25.32979617297061,1.7235518070370914,1.7235518070370914,1.7235518070370914,0.0,0.0,0.0,242.9132295868455
2010-01-01,217.22991534648608,235.06548889373153,251.92038167411647,217.22991534648608,217.22991534648608,37.35206714149507,37.35206714149507,37.35206714149507,8.765793375157903,8.765793375157903,8.765793375157903,-16.04418643126676,-16.04418643126676,-16.04418643126676,26.372250305161003,26.372250305161003,26.372250305161003,30.073674085386216,30.073674085386216,30.073674085386216,-3.7014237802252157,-3.7014237802252157,-3.7014237802252157,0.0,0.0,0.0,243.60216565164708
2010-02-01,218.5999490861344,231.26489534647115,249.02032737694864,218.5999490861344,218.5999490861344,13.7352463384186,13.7352463384186,13.7352463384186,2.7367786033729598,2.7367786033729598,2.7367786033729598,0.9521076037747531,0.9521076037747531,0.9521076037747531,21.721967984570764,21.721967984570764,21.721967984570764,17.424132545566316,17.424132545566316,17.424132545566316,4.297835439004452,4.297835439004452,4.297835439004452,0.0,0.0,0.0,240.32191707070515
2010-03-01,219.83739891549416,273.82361314657106,292.1532936848028,219.83739891549416,219.83739891549416,38.93980933168118,38.93980933168118,38.93980933168118,31.11869885406508,31.11869885406508,31.11869885406508,-14.675104285862588,-14.675104285862588,-14.675104285862588,63.37821494806046,63.37821494806046,63.37821494806046,55.38340389988367,55.38340389988367,55.38340389988367,7.994811048176783,7.994811048176783,7.994811048176783,0.0,0.0,0.0,283.2156138635546
2010-04-01,221.2073181898499,270.58884381876953,287.99627051569024,221.2073181898499,221.2073181898499,48.370046479107714,48.370046479107714,48.370046479107714,44.08068846456609,44.08068846456609,44.08068846456609,-35.29320091254478,-35.29320091254478,-35.29320091254478,58.1415849954167,58.1415849954167,58.1415849954167,57.15753403112902,57.15753403112902,57.15753403112902,0.9840509642876778,0.9840509642876778,0.9840509642876778,0.0,0.0,0.0,279.3489031852666
2010-05-01,222.5330465198716,228.63817133775726,245.9693769668788,222.5330465198716,222.5330465198716,25.578036075831744,25.578036075831744,25.578036075831744,12.052980998650707,12.052980998650707,12.052980998650707,-24.171421592439682,-24.171421592439682,-24.171421592439682,14.559459467773628,14.559459467773628,14.559459467773628,13.459595482042769,13.459595482042769,13.459595482042769,1.099863985730863,1.099863985730863,1.099863985730863,0.0,0.0,0.0,237.0925059876452
2010-06-01,223.90296579422736,214.00606661523574,230.74050063649923,223.90296579422736,223.90296579422736,8.889542923040164,8.889542923040164,8.889542923040164,1.399494071907529,1.399494071907529,1.399494071907529,-14.0478292072725,-14.0478292072725,-14.0478292072725,-1.3919737667745107,-1.3919737667745107,-1.3919737667745107,-3.758792212324806,-3.758792212324806,-3.758792212324806,2.366818445550294,2.366818445550294,2.366818445550294,0.0,0.0,0.0,222.51099202745286
2010-07-01,225.22869371562703,225.71063514617876,243.2524586536255,225.22869371562703,225.22869371562703,4.353117187837159,4.353117187837159,4.353117187837159,-3.6060122361355935,-3.6060122361355935,-3.6060122361355935,7.03934836238658,7.03934836238658,7.03934836238658,8.919628055310286,8.919628055310286,8.919628055310286,7.786453314088145,7.786453314088145,7.786453314088145,1.1331747412221411,1.1331747412221411,1.1331747412221411,0.0,0.0,0.0,234.14832177093732
2010-08-01,226.59861256774005,224.38519449784283,242.15150241302115,226.59861256774005,226.59861256774005,5.3360117028427885,5.3360117028427885,5.3360117028427885,3.386742500823596,3.386742500823596,3.386742500823596,-4.709689390427029,-4.709689390427029,-4.709689390427029,6.903445117835053,6.903445117835053,6.903445117835053,4.013064813239355,4.013064813239355,4.013064813239355,2.8903803045956975,2.8903803045956975,2.8903803045956975,0.0,0.0,0.0,233.5020576855751
2010-09-01,227.96853247668764,232.19803832808665,249.897410409147,227.96853247668764,227.96853247668764,7.68669617131443,7.68669617131443,7.68669617131443,10.626038019496045,10.626038019496045,10.626038019496045,0.5921071228038138,0.5921071228038138,0.5921071228038138,13.061868191815329,13.061868191815329,13.061868191815329,18.904841313614288,18.904841313614288,18.904841313614288,-5.84297312179896,-5.84297312179896,-5.84297312179896,0.0,0.0,0.0,241.03040066850298
2010-10-01,229.29426142083045,243.13297509952085,260.0354205159417,229.29426142083045,229.29426142083045,8.992638979065276,8.992638979065276,8.992638979065276,14.914333744402718,14.914333744402718,14.914333744402718,-6.711498140639349,-6.711498140639349,-6.711498140639349,22.649830917052352,22.649830917052352,22.649830917052352,17.19547458282865,17.19547458282865,17.19547458282865,5.454356334223703,5.454356334223703,5.454356334223703,0.0,0.0,0.0,251.9440923378828
