ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Adj Close,Adj Close_lower,Adj Close_upper,High,High_lower,High_upper,Low,Low_lower,Low_upper,Open,Open_lower,Open_upper,Volume,Volume_lower,Volume_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2004-08-01,212.04762330682826,120.65247994522498,121.04692538044763,212.04762330682826,212.04762330682826,-91.21318887353559,-91.21318887353559,-91.21318887353559,0.014630032446061331,0.014630032446061331,0.014630032446061331,0.00015810543684233985,0.00015810543684233985,0.00015810543684233985,0.0008535948030133872,0.0008535948030133872,0.0008535948030133872,1.2047878445815733e-06,1.2047878445815733e-06,1.2047878445815733e-06,-91.19101237691602,-91.19101237691602,-91.19101237691602,-91.19754593606183,-91.19754593606183,-91.19754593606183,0.00653355914579991,0.00653355914579991,0.00653355914579991,0.0,0.0,0.0,120.85661092991224
2004-09-01,212.0523421148632,133.41558076514602,133.81006196019968,212.0523421148632,212.0523421148632,-78.45065407191683,-78.45065407191683,-78.45065407191683,0.01347787848191936,0.01347787848191936,0.01347787848191936,0.0001445398543724221,0.0001445398543724221,0.0001445398543724221,0.0009058970151453828,0.0009058970151453828,0.0009058970151453828,1.198155836206814e-06,1.198155836206814e-06,1.198155836206814e-06,-78.43532162323831,-78.43532162323831,-78.43532162323831,-78.43612455840956,-78.43612455840956,-78.43612455840956,0.0008029351712528706,0.0008029351712528706,0.0008029351712528706,0.0,0.0,0.0,133.61702049162488
2004-10-01,212.05991757787197,128.53960911870718,128.93991760252376,212.05991757787197,212.05991757787197,-83.33162464270333,-83.33162464270333,-83.33162464270333,0.01183338882929836,0.01183338882929836,0.01183338882929836,0.0001560985797545662,0.0001560985797545662,0.0001560985797545662,0.0007782358243460582,0.0007782358243460582,0.0007782358243460582,1.1782474896549934e-06,1.1782474896549934e-06,1.1782474896549934e-06,-83.31288658766935,-83.31288658766935,-83.31288658766935,-83.31885574122244,-83.31885574122244,-83.31885574122244,0.005969153553076186,0.005969153553076186,0.005969153553076186,0.0,0.0,0.0,128.74703099020263
2004-11-01,212.0677455563144,161.6230508880407,162.04400165950787,212.0677455563144,212.0677455563144,-50.22506848880838,-50.22506848880838,-50.22506848880838,0.009080060795263089,0.009080060795263089,0.009080060795263089,0.00012755876499723185,0.00012755876499723185,0.00012755876499723185,0.0008276433661468138,0.0008276433661468138,0.0008276433661468138,1.1901931136574625e-06,1.1901931136574625e-06,1.1901931136574625e-06,-50.22142638298982,-50.22142638298982,-50.22142638298982,-50.215032035688864,-50.215032035688864,-50.215032035688864,-0.006394347300960362,-0.006394347300960362,-0.006394347300960362,0.0,0.0,0.0,161.8463191733246
2004-12-01,212.06843962508407,159.87511542296443,160.27140257441474,212.06843962508407,212.06843962508407,-52.0054347679661,-52.0054347679661,-52.0054347679661,0.008765310954776647,0.008765310954776647,0.008765310954776647,9.274755680583688e-05,9.274755680583688e-05,9.274755680583688e-05,0.0004971615989287719,0.0004971615989287719,0.0004971615989287719,1.1874700781705668e-06,1.1874700781705668e-06,1.1874700781705668e-06,-51.99933519010736,-51.99933519010736,-51.99933519010736,-51.99607836038551,-51.99607836038551,-51.99607836038551,-0.0032568297218500946,-0.0032568297218500946,-0.0032568297218500946,0.0,0.0,0.0,160.0691044349767
2005-01-01,212.0691568294794,166.98233465100176,167.3875958052678,212.0691568294794,212.0691568294794,-44.904023667801034,-44.904023667801034,-44.904023667801034,0.008459225772981959,0.008459225772981959,0.008459225772981959,9.774539135617274e-05,9.774539135617274e-05,9.774539135617274e-05,0.0005149283501031611,0.0005149283501031611,0.0005149283501031611,1.1838198552610961e-06,1.1838198552610961e-06,1.1838198552610961e-06,-44.89455645813951,-44.89455645813951,-44.89455645813951,-44.894950584466734,-44.894950584466734,-44.894950584466734,0.0003941263272290099,0.0003941263272290099,0.0003941263272290099,0.0,0.0,0.0,167.1746003713399
2005-02-01,212.06987403387473,188.33144801555588,188.74588359592525,212.06987403387473,212.06987403387473,-23.539796197802882,-23.539796197802882,-23.539796197802882,0.0051384826617349305,0.0051384826617349305,0.0051384826617349305,5.776265606467439e-05,5.776265606467439e-05,5.776265606467439e-05,0.0004432624901103065,0.0004432624901103065,0.0004432624901103065,1.1889363280481263e-06,1.1889363280481263e-06,1.1889363280481263e-06,-23.535449090591914,-23.535449090591914,-23.535449090591914,-23.534155501058642,-23.534155501058642,-23.534155501058642,-0.0012935895332701287,-0.0012935895332701287,-0.0012935895332701287,0.0,0.0,0.0,188.5344249432828
2005-03-01,212.0630632950781,165.68391335564536,166.0700307124562,212.0630632950781,212.0630632950781,-46.19427222642492,-46.19427222642492,-46.19427222642492,0.005118269530919543,0.005118269530919543,0.005118269530919543,6.719873423326761e-05,6.719873423326761e-05,6.719873423326761e-05,0.00023046050981053644,0.00023046050981053644,0.00023046050981053644,1.1677496333887693e-06,1.1677496333887693e-06,1.1677496333887693e-06,-46.1900303460207,-46.1900303460207,-46.1900303460207,-46.188855129900325,-46.188855129900325,-46.188855129900325,-0.0011752161203717475,-0.0011752161203717475,-0.0011752161203717475,0.0,0.0,0.0,165.8730329490574
2005-04-01,212.05552283426752,141.7817936108507,142.1776049111585,212.05552283426752,212.05552283426752,-70.07900264416791,-70.07900264416791,-70.07900264416791,0.008452006325605175,0.008452006325605175,0.008452006325605175,0.00011063559276823471,0.00011063559276823471,0.00011063559276823471,0.00045693686036285975,0.00045693686036285975,0.00045693686036285975,1.1667500575793824e-06,1.1667500575793824e-06,1.1667500575793824e-06,-70.07087546449206,-70.07087546449206,-70.07087546449206,-70.06998189863911,-70.06998189863911,-70.06998189863911,-0.0008935658529463221,-0.0008935658529463221,-0.0008935658529463221,0.0,0.0,0.0,141.98464736977547
2005-05-01,212.04920501316636,142.0241668152328,142.42421362625655,212.04920501316636,212.04920501316636,-69.83894965711316,-69.83894965711316,-69.83894965711316,0.01123421214914759,0.01123421214914759,0.01123421214914759,0.00012804118214172931,0.00012804118214172931,0.00012804118214172931,0.0006943925800359209,0.0006943925800359209,0.0006943925800359209,1.1766226013978239e-06,1.1766226013978239e-06,1.1766226013978239e-06,-69.82739169818936,-69.82739169818936,-69.82739169818936,-69.82689183457924,-69.82689183457924,-69.82689183457924,-0.0004998636101144956,-0.0004998636101144956,-0.0004998636101144956,0.0,0.0,0.0,142.221813314977
2005-06-01,212.04267659802846,129.465315670267,129.85859152966555,212.04267659802846,212.04267659802846,-82.40144793375728,-82.40144793375728,-82.40144793375728,0.011141808950696403,0.011141808950696403,0.011141808950696403,0.00012732721419008298,0.00012732721419008298,0.00012732721419008298,0.0006934942970929738,0.0006934942970929738,0.0006934942970929738,1.174401664083285e-06,1.174401664083285e-06,1.174401664083285e-06,-82.39113313537334,-82.39113313537334,-82.39113313537334,-82.38948412889364,-82.38948412889364,-82.38948412889364,-0.001649006479694745,-0.001649006479694745,-0.001649006479694745,0.0,0.0,0.0,129.65154346265513
2005-07-01,212.0363587769273,158.4876850470551,158.9118999687228,212.0363587769273,212.0363587769273,-53.34569627328578,-53.34569627328578,-53.34569627328578,0.009611378635590924,0.009611378635590924,0.009611378635590924,0.00012593785045837794,0.00012593785045837794,0.00012593785045837794,0.000818260893712546,0.000818260893712546,0.000818260893712546,1.1771986281354366e-06,1.1771986281354366e-06,1.1771986281354366e-06,-53.33692092342383,-53.33692092342383,-53.33692092342383,-53.33513951870739,-53.33513951870739,-53.33513951870739,-0.0017814047164432442,-0.0017814047164432442,-0.0017814047164432442,0.0,0.0,0.0,158.69943785350347
2005-08-01,212.03206488766986,157.32623928960572,157.73693176057435,212.03206488766986,212.03206488766986,-54.51592596928662,-54.51592596928662,-54.51592596928662,0.008658471064637909,0.008658471064637909,0.008658471064637909,8.77111206395076e-05,8.77111206395076e-05,8.77111206395076e-05,0.0005291018172027876,0.0005291018172027876,0.0005291018172027876,1.1867431139455581e-06,1.1867431139455581e-06,1.1867431139455581e-06,-54.50455802334547,-54.50455802334547,-54.50455802334547,-54.50664949854103,-54.50664949854103,-54.50664949854103,0.002091475195560307,0.002091475195560307,0.002091475195560307,0.0,0.0,0.0,157.52750686432438
2005-09-01,212.02777099841242,169.76751339817616,170.1750482444994,212.02777099841242,212.02777099841242,-42.06346533245844,-42.06346533245844,-42.06346533245844,0.008169020291123763,0.008169020291123763,0.008169020291123763,7.171418108351184e-05,7.171418108351184e-05,7.171418108351184e-05,0.0005399815801782749,0.0005399815801782749,0.0005399815801782749,1.1912342742848055e-06,1.1912342742848055e-06,1.1912342742848055e-06,-42.05339200258794,-42.05339200258794,-42.05339200258794,-42.05468342517179,-42.05468342517179,-42.05468342517179,0.0012914225838406217,0.0012914225838406217,0.0012914225838406217,0.0,0.0,0.0,169.97437899582448
2005-10-01,212.02458424729915,162.71198795527872,163.13426496873345,212.02458424729915,212.02458424729915,-49.11486348592767,-49.11486348592767,-49.11486348592767,0.008138701696433706,0.008138701696433706,0.008138701696433706,9.50631532105433e-05,9.50631532105433e-05,9.50631532105433e-05,0.00041581383885400076,0.00041581383885400076,0.00041581383885400076,1.18650900682225e-06,1.18650900682225e-06,1.18650900682225e-06,-49.10451414047341,-49.10451414047341,-49.10451414047341,-49.10621272073016,-49.10621272073016,-49.10621272073016,0.0016985802567498053,0.0016985802567498053,0.0016985802567498053,0.0,0.0,0.0,162.92007010682573
2005-11-01,212.02129127114875,184.8362333074764,185.23620978567072,212.02129127114875,212.02129127114875,-27.000487600918103,-27.000487600918103,-27.000487600918103,0.005988881570362069,0.005988881570362069,0.005988881570362069,6.195003334558328e-05,6.195003334558328e-05,6.195003334558328e-05,0.00048628198825625914,0.00048628198825625914,0.00048628198825625914,1.190274743114932e-06,1.190274743114932e-06,1.190274743114932e-06,-26.99626718664361,-26.99626718664361,-26.99626718664361,-26.993949297051394,-26.993949297051394,-26.993949297051394,-0.0023178895922159734,-0.0023178895922159734,-0.0023178895922159734,0.0,0.0,0.0,185.02502408450513
2005-12-01,212.01810452003548,187.02919785865004,187.42871691198204,212.01810452003548,212.01810452003548,-24.790043556155297,-24.790043556155297,-24.790043556155297,0.004835283496438138,0.004835283496438138,0.004835283496438138,2.949302317488813e-05,2.949302317488813e-05,2.949302317488813e-05,0.0002651954876645924,0.0002651954876645924,0.0002651954876645924,1.1934952562388572e-06,1.1934952562388572e-06,1.1934952562388572e-06,-24.78619591639754,-24.78619591639754,-24.78619591639754,-24.784912390652764,-24.784912390652764,-24.784912390652764,-0.0012835257447762307,-0.0012835257447762307,-0.0012835257447762307,0.0,0.0,0.0,187.23190860363795
2006-01-01,212.01618030066732,237.32143282206042,237.7129983696716,212.01618030066732,212.01618030066732,25.509901449882655,25.509901449882655,25.509901449882655,-0.001809088742553826,-0.001809088742553826,-0.001809088742553826,1.417144995454524e-05,1.417144995454524e-05,1.417144995454524e-05,0.00024233831417719534,0.00024233831417719534,0.00024233831417719534,1.1807857037287515e-06,1.1807857037287515e-06,1.1807857037287515e-06,25.50839364100266,25.50839364100266,25.50839364100266,25.508350051689938,25.508350051689938,25.508350051689938,4.3589312724659054e-05,4.3589312724659054e-05,4.3589312724659054e-05,0.0,0.0,0.0,237.52457394166998
2006-02-01,212.01425608129912,230.28669971536704,230.687873609064,212.01425608129912,212.01425608129912,18.47851152745348,18.47851152745348,18.47851152745348,-0.0023534024693862825,-0.0023534024693862825,-0.0023534024693862825,-4.221346824986517e-05,-4.221346824986517e-05,-4.221346824986517e-05,-0.0002572271691481662,-0.0002572271691481662,-0.0002572271691481662,1.1851906140752008e-06,1.1851906140752008e-06,1.1851906140752008e-06,18.474202216255602,18.474202216255602,18.474202216255602,18.47585986953731,18.47585986953731,18.47585986953731,-0.0016576532817092447,-0.0016576532817092447,-0.0016576532817092447,0.0,0.0,0.0,230.48845829755473
2006-03-01,212.01036523658868,269.9218622683333,270.32915580770396,212.01036523658868,212.01036523658868,58.12635514505239,58.12635514505239,58.12635514505239,-0.007460129352028031,-0.007460129352028031,-0.007460129352028031,-6.301529316504136e-05,-6.301529316504136e-05,-6.301529316504136e-05,-0.000188455827183577,-0.000188455827183577,-0.000188455827183577,1.1786818199758667e-06,1.1786818199758667e-06,1.1786818199758667e-06,58.11493524619488,58.11493524619488,58.11493524619488,58.11864472326183,58.11864472326183,58.11864472326183,-0.0037094770669559873,-0.0037094770669559873,-0.0037094770669559873,0.0,0.0,0.0,270.1253004827836
