ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,High,High_lower,High_upper,Low,Low_lower,Low_upper,Open,Open_lower,Open_upper,Volume,Volume_lower,Volume_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2006-03-01,215.1958945234352,257.88573004377,282.6924628082463,215.1958945234352,215.1958945234352,36.92709319363446,36.92709319363446,36.92709319363446,23.20946772745461,23.20946772745461,23.20946772745461,-7.862016903891751,-7.862016903891751,-7.862016903891751,0.49593169020924194,0.49593169020924194,0.49593169020924194,55.45620415360857,55.45620415360857,55.45620415360857,52.77047570740657,52.77047570740657,52.77047570740657,2.685728446202002,2.685728446202002,2.685728446202002,0.0,0.0,0.0,270.65209867704374
2006-04-01,215.25152552193435,282.38096281240064,306.3326152524186,215.25152552193435,215.25152552193435,52.16388588087923,52.16388588087923,52.16388588087923,53.685373088609005,53.685373088609005,53.685373088609005,-24.401495122412296,-24.401495122412296,-24.401495122412296,0.4986223182320721,0.4986223182320721,0.4986223182320721,78.58943959656474,78.58943959656474,78.58943959656474,81.946386165308,81.946386165308,81.946386165308,-3.3569465687432496,-3.3569465687432496,-3.3569465687432496,0.0,0.0,0.0,293.84096511849907
2006-05-01,215.30536197209483,278.81412027948164,300.86003045218183,215.30536197209483,215.30536197209483,68.70136336042593,68.70136336042593,68.70136336042593,37.26051541846391,37.26051541846391,37.26051541846391,-31.13471967938063,-31.13471967938063,-31.13471967938063,0.48958745891263616,0.48958745891263616,0.48958745891263616,74.92415695455819,74.92415695455819,74.92415695455819,75.31674655842184,75.31674655842184,75.31674655842184,-0.39258960386365616,-0.39258960386365616,-0.39258960386365616,0.0,0.0,0.0,290.229518926653
2006-06-01,215.36099296065262,247.41752381413386,270.0119544097416,215.36099296065262,215.36099296065262,41.636773002049864,41.636773002049864,41.636773002049864,25.8746886406682,25.8746886406682,25.8746886406682,-23.87683735065877,-23.87683735065877,-23.87683735065877,0.4855178192249258,0.4855178192249258,0.4855178192249258,43.26467747794431,43.26467747794431,43.26467747794431,44.120142111284224,44.120142111284224,44.120142111284224,-0.8554646333399105,-0.8554646333399105,-0.8554646333399105,0.0,0.0,0.0,258.62567043859696
2006-07-01,215.4148294011924,248.76406279858682,270.6864215931329,215.4148294011924,215.4148294011924,43.93086106614227,43.93086106614227,43.93086106614227,33.88456892839336,33.88456892839336,33.88456892839336,-30.726641227947468,-30.726641227947468,-30.726641227947468,0.49236816335530575,0.49236816335530575,0.49236816335530575,44.47736558915851,44.47736558915851,44.47736558915851,47.58115692994346,47.58115692994346,47.58115692994346,-3.103791340784951,-3.103791340784951,-3.103791340784951,0.0,0.0,0.0,259.8921949903509
2006-08-01,215.4704603952169,249.28368199129324,271.82923144891436,215.4704603952169,215.4704603952169,29.83041459095569,29.83041459095569,29.83041459095569,34.048032774523215,34.048032774523215,34.048032774523215,-22.257027801651134,-22.257027801651134,-22.257027801651134,0.4955013970957643,0.4955013970957643,0.4955013970957643,45.35885666487455,45.35885666487455,45.35885666487455,42.11692096092354,42.11692096092354,42.11692096092354,3.2419357039510115,3.2419357039510115,3.2419357039510115,0.0,0.0,0.0,260.82931706009146
2006-09-01,215.5260913892414,236.56827363606905,259.3276530918888,215.5260913892414,215.5260913892414,25.74962701363886,25.74962701363886,25.74962701363886,26.20162717773951,26.20162717773951,26.20162717773951,-14.824257431081776,-14.824257431081776,-14.824257431081776,0.4951158181763077,0.4951158181763077,0.4951158181763077,32.70435441938488,32.70435441938488,32.70435441938488,37.62211257847291,37.62211257847291,37.62211257847291,-4.917758159088033,-4.917758159088033,-4.917758159088033,0.0,0.0,0.0,248.23044580862629
2006-10-01,215.5799278449881,273.9774836461377,298.12723437320454,215.5799278449881,215.5799278449881,52.7213284518745,52.7213284518745,52.7213284518745,31.19091291901098,31.19091291901098,31.19091291901098,-15.55296078234087,-15.55296078234087,-15.55296078234087,0.49231502474791844,0.49231502474791844,0.49231502474791844,70.99103484388658,70.99103484388658,70.99103484388658,68.85159561329253,68.85159561329253,68.85159561329253,2.1394392305940446,2.1394392305940446,2.1394392305940446,0.0,0.0,0.0,286.5709626888747
2006-11-01,215.6355588492597,296.4108862226754,321.2217147643232,215.6355588492597,215.6355588492597,62.71241620971514,62.71241620971514,62.71241620971514,60.714459454743505,60.714459454743505,60.714459454743505,-33.20423770525957,-33.20423770525957,-33.20423770525957,0.49696724502149686,0.49696724502149686,0.49696724502149686,93.62192764384264,93.62192764384264,93.62192764384264,90.71960520422057,90.71960520422057,90.71960520422057,2.9023224396220737,2.9023224396220737,2.9023224396220737,0.0,0.0,0.0,309.2574864931023
2006-12-01,215.6893953050064,311.9311357418598,333.51131142345577,215.6893953050064,215.6893953050064,77.80626595669219,77.80626595669219,77.80626595669219,72.52671507176642,72.52671507176642,72.52671507176642,-42.4733483997002,-42.4733483997002,-42.4733483997002,0.49684541504358454,0.49684541504358454,0.49684541504358454,106.307818021746,106.307818021746,106.307818021746,108.35647804380197,108.35647804380197,108.35647804380197,-2.0486600220559663,-2.0486600220559663,-2.0486600220559663,0.0,0.0,0.0,321.9972133267524
2007-01-01,215.74502627103223,322.120523075916,345.45251352054356,215.74502627103223,215.74502627103223,86.21795854174854,86.21795854174854,86.21795854174854,68.7669706970986,68.7669706970986,68.7669706970986,-37.813809954185814,-37.813809954185814,-37.813809954185814,0.4975841712926275,0.4975841712926275,0.4975841712926275,118.597341131923,118.597341131923,118.597341131923,117.66870345595395,117.66870345595395,117.66870345595395,0.9286376759690527,0.9286376759690527,0.9286376759690527,0.0,0.0,0.0,334.34236740295523
2007-02-01,215.80065723705812,344.82491432930766,369.49313747474463,215.80065723705812,215.80065723705812,101.19030460849494,101.19030460849494,101.19030460849494,98.8875241146362,98.8875241146362,98.8875241146362,-56.56854305656372,-56.56854305656372,-56.56854305656372,0.49999873776976267,0.49999873776976267,0.49999873776976267,141.50300804172562,141.50300804172562,141.50300804172562,144.00928440433717,144.00928440433717,144.00928440433717,-2.506276362611578,-2.506276362611578,-2.506276362611578,0.0,0.0,0.0,357.30366527878374
2007-03-01,215.85090455125587,356.2224151948551,379.80688804122036,215.85090455125587,215.85090455125587,111.15282122630654,111.15282122630654,111.15282122630654,93.17328440361172,93.17328440361172,93.17328440361172,-56.41864446679928,-56.41864446679928,-56.41864446679928,0.49603861545581396,0.49603861545581396,0.49603861545581396,152.2226852547917,152.2226852547917,152.2226852547917,148.4034997785748,148.4034997785748,148.4034997785748,3.81918547621691,3.81918547621691,3.81918547621691,0.0,0.0,0.0,368.0735898060476
2007-04-01,215.90653550626052,393.3410748150156,417.0728100295826,215.90653550626052,215.90653550626052,134.02944951721076,134.02944951721076,134.02944951721076,128.67403564346608,128.67403564346608,128.67403564346608,-68.76912679076275,-68.76912679076275,-68.76912679076275,0.499675369902857,0.499675369902857,0.499675369902857,189.8109146099357,189.8109146099357,189.8109146099357,194.43403373981698,194.43403373981698,194.43403373981698,-4.623119129881261,-4.623119129881261,-4.623119129881261,0.0,0.0,0.0,405.71745011619623
2007-05-01,215.96037187521972,408.8254578640777,430.6914579523968,215.96037187521972,215.96037187521972,143.3487665238786,143.3487665238786,143.3487665238786,135.21271962639946,135.21271962639946,135.21271962639946,-75.71470768323071,-75.71470768323071,-75.71470768323071,0.498505672508539,0.498505672508539,0.498505672508539,203.62278751761662,203.62278751761662,203.62278751761662,203.34528413955587,203.34528413955587,203.34528413955587,0.27750337806073216,0.27750337806073216,0.27750337806073216,0.0,0.0,0.0,419.58315939283636
2007-06-01,216.01600278981087,391.06605337160096,415.04239482640423,216.01600278981087,216.01600278981087,147.90834970200373,147.90834970200373,147.90834970200373,128.10546385782987,128.10546385782987,128.10546385782987,-88.34001679600699,-88.34001679600699,-88.34001679600699,0.49705796947313374,0.49705796947313374,0.49705796947313374,186.87742472290861,186.87742472290861,186.87742472290861,188.17085473329976,188.17085473329976,188.17085473329976,-1.2934300103911311,-1.2934300103911311,-1.2934300103911311,0.0,0.0,0.0,402.8934275127195
2007-07-01,216.0698391354467,389.4523970316435,411.94185087176965,216.0698391354467,216.0698391354467,145.15688348710958,145.15688348710958,145.15688348710958,121.95767026631856,121.95767026631856,121.95767026631856,-75.56896447146332,-75.56896447146332,-75.56896447146332,0.49749798306357246,0.49749798306357246,0.49749798306357246,184.55030018646332,184.55030018646332,184.55030018646332,192.0430872650284,192.0430872650284,192.0430872650284,-7.492787078565108,-7.492787078565108,-7.492787078565108,0.0,0.0,0.0,400.62013932191
2007-08-01,216.12547002593703,325.0507705365778,348.5364782272059,216.12547002593703,216.12547002593703,103.25571450220176,103.25571450220176,103.25571450220176,72.3845612805457,72.3845612805457,72.3845612805457,-65.30882789367583,-65.30882789367583,-65.30882789367583,0.49456499114851243,0.49456499114851243,0.49456499114851243,119.95370241475214,119.95370241475214,119.95370241475214,110.82601288022013,110.82601288022013,110.82601288022013,9.12768953453201,9.12768953453201,9.12768953453201,0.0,0.0,0.0,336.07917244068915
2007-09-01,216.10936170519307,383.33347473314757,406.2027419118016,216.10936170519307,216.10936170519307,134.40822431788663,134.40822431788663,134.40822431788663,114.07572622172964,114.07572622172964,114.07572622172964,-65.41708375042414,-65.41708375042414,-65.41708375042414,0.5028423012967806,0.5028423012967806,0.5028423012967806,178.386770208227,178.386770208227,178.386770208227,183.5697090904889,183.5697090904889,183.5697090904889,-5.182938882261937,-5.182938882261937,-5.182938882261937,0.0,0.0,0.0,394.4961319134201
2007-10-01,216.0937730076989,420.2879807870178,444.1409644478734,216.0937730076989,216.0937730076989,153.11830799132565,153.11830799132565,153.11830799132565,142.2133492067418,142.2133492067418,142.2133492067418,-82.3063444064287,-82.3063444064287,-82.3063444064287,0.5007219412556678,0.5007219412556678,0.5007219412556678,216.44977552124058,216.44977552124058,216.44977552124058,213.52603473289443,213.52603473289443,213.52603473289443,2.9237407883461484,2.9237407883461484,2.9237407883461484,0.0,0.0,0.0,432.5435485289395
2007-11-01,215.95013626274098,369.9978909646378,393.4268117606185,215.95013626274098,215.95013626274098,140.21135000825547,140.21135000825547,140.21135000825547,112.56899146913261,112.56899146913261,112.56899146913261,-88.36083180872606,-88.36083180872606,-88.36083180872606,0.5007685995450811,0.5007685995450811,0.5007685995450811,165.48500598846272,165.48500598846272,165.48500598846272,164.92027826820708,164.92027826820708,164.92027826820708,0.5647277202556236,0.5647277202556236,0.5647277202556236,0.0,0.0,0.0,381.43514225120373
2007-12-01,215.8111329611688,401.2734235793461,423.83013376539,215.8111329611688,215.8111329611688,142.7841702628608,142.7841702628608,142.7841702628608,135.3193241250033,135.3193241250033,135.3193241250033,-77.72592334137154,-77.72592334137154,-77.72592334137154,0.5048362951373992,0.5048362951373992,0.5048362951373992,196.46187997724067,196.46187997724067,196.46187997724067,200.88240734163,200.88240734163,200.88240734163,-4.420527364389319,-4.420527364389319,-4.420527364389319,0.0,0.0,0.0,412.27301293840947
2008-01-01,215.51886619242063,343.4766200427966,367.7844699487516,215.51886619242063,215.51886619242063,137.29550159305649,137.29550159305649,137.29550159305649,84.54508717917237,84.54508717917237,84.54508717917237,-85.59592970103212,-85.59592970103212,-85.59592970103212,0.4977137776521087,0.4977137776521087,0.4977137776521087,140.64785070652232,140.64785070652232,140.64785070652232,136.74237284884885,136.74237284884885,136.74237284884885,3.9054778576734632,3.9054778576734632,3.9054778576734632,0.0,0.0,0.0,356.1667168989429
2008-02-01,215.22659942367247,402.70002212842064,425.5436900639241,215.22659942367247,215.22659942367247,154.44045385369523,154.44045385369523,154.44045385369523,116.8404591267224,116.8404591267224,116.8404591267224,-69.93504706974613,-69.93504706974613,-69.93504706974613,0.5032531534563361,0.5032531534563361,0.5032531534563361,199.13229739168733,199.13229739168733,199.13229739168733,201.84911906412785,201.84911906412785,201.84911906412785,-2.71682167244053,-2.71682167244053,-2.71682167244053,0.0,0.0,0.0,414.3588968153598
2008-03-01,214.9531885754887,423.1521914458315,446.3261756409154,214.9531885754887,214.9531885754887,164.86034862230852,164.86034862230852,164.86034862230852,138.86583781284003,138.86583781284003,138.86583781284003,-85.39188412152653,-85.39188412152653,-85.39188412152653,0.5020996568569532,0.5020996568569532,0.5020996568569532,219.17059129046203,219.17059129046203,219.17059129046203,218.83640197047896,218.83640197047896,218.83640197047896,0.3341893199830894,0.3341893199830894,0.3341893199830894,0.0,0.0,0.0,434.1237798659507
2008-04-01,214.6594199763887,474.07130587922967,497.4680367656422,214.6594199763887,214.6594199763887,199.6791245745522,199.6791245745522,199.6791245745522,165.95869333228757,165.95869333228757,165.95869333228757,-94.26125253568401,-94.26125253568401,-94.26125253568401,0.5018443323287752,0.5018443323287752,0.5018443323287752,270.99679715479107,270.99679715479107,270.99679715479107,271.8784097034845,271.8784097034845,271.8784097034845,-0.8816125486934204,-0.8816125486934204,-0.8816125486934204,0.0,0.0,0.0,485.6562171311798
2008-05-01,214.37512778371138,522.8860885100672,545.7423561569473,214.37512778371138,214.37512778371138,242.4021827509536,242.4021827509536,242.4021827509536,193.75518192176733,193.75518192176733,193.75518192176733,-115.15212949525107,-115.15212949525107,-115.15212949525107,0.5012397186617954,0.5012397186617954,0.5012397186617954,319.74815477817697,319.74815477817697,319.74815477817697,321.5064748961317,321.5064748961317,321.5064748961317,-1.7583201179546881,-1.7583201179546881,-1.7583201179546881,0.0,0.0,0.0,534.1232825618883
2008-06-01,214.0808103384848,531.5236808221131,553.7822344827578,214.0808103384848,214.0808103384848,242.05911097029883,242.05911097029883,242.05911097029883,220.91911433682517,220.91911433682517,220.91911433682517,-135.09362330448732,-135.09362330448732,-135.09362330448732,0.5007880404990033,0.5007880404990033,0.5007880404990033,328.2787588722269,328.2787588722269,328.2787588722269,328.3853900431357,328.3853900431357,328.3853900431357,-0.10663117090881036,-0.10663117090881036,-0.10663117090881036,0.0,0.0,0.0,542.3595692107117
2008-07-01,213.7959870043946,446.9122080336729,470.263658461995,213.7959870043946,213.7959870043946,227.90147859499294,227.90147859499294,227.90147859499294,149.80391485168784,149.80391485168784,149.80391485168784,-139.45333915531688,-139.45333915531688,-139.45333915531688,0.494809947167932,0.494809947167932,0.494809947167932,244.70238572929048,244.70238572929048,244.70238572929048,238.7468642385318,238.7468642385318,238.7468642385318,5.955521490758677,5.955521490758677,5.955521490758677,0.0,0.0,0.0,458.4983727336851
2008-08-01,213.50166952504046,387.2663585537209,410.38047641624405,213.50166952504046,213.50166952504046,163.99560272077122,163.99560272077122,163.99560272077122,131.2610871542446,131.2610871542446,131.2610871542446,-102.12707810219162,-102.12707810219162,-102.12707810219162,0.5019499615117524,0.5019499615117524,0.5019499615117524,185.29361529219352,185.29361529219352,185.29361529219352,193.63156173433597,193.63156173433597,193.63156173433597,-8.337946442142451,-8.337946442142451,-8.337946442142451,0.0,0.0,0.0,398.795284817234
2008-09-01,213.20735204568635,265.0948511768095,287.6760648377415,213.20735204568635,213.20735204568635,124.96027175099616,124.96027175099616,124.96027175099616,22.043878215201644,22.043878215201644,22.043878215201644,-79.47481646742452,-79.47481646742452,-79.47481646742452,0.49315681805274897,0.49315681805274897,0.49315681805274897,63.45890678593346,63.45890678593346,63.45890678593346,68.02249031682602,68.02249031682602,68.02249031682602,-4.563583530892568,-4.563583530892568,-4.563583530892568,0.0,0.0,0.0,276.6662588316198
2008-10-01,212.92252866299714,161.73380348400335,184.9729812116097,212.92252866299714,212.92252866299714,18.002595109793866,18.002595109793866,18.002595109793866,-41.50209821433374,-41.50209821433374,-41.50209821433374,-17.060333681447204,-17.060333681447204,-17.060333681447204,0.4838096074069633,0.4838096074069633,0.4838096074069633,-39.69024979165756,-39.69024979165756,-39.69024979165756,-40.07602717858011,-40.07602717858011,-40.07602717858011,0.38577738692255453,0.38577738692255453,0.38577738692255453,0.0,0.0,0.0,173.2322788713396
2008-11-01,212.6282111675516,133.02674652176424,156.12868716467233,212.6282111675516,212.6282111675516,-23.183891888821165,-23.183891888821165,-23.183891888821165,-65.7733723260742,-65.7733723260742,-65.7733723260742,13.16211807208464,13.16211807208464,13.16211807208464,0.4974629893465125,0.4974629893465125,0.4974629893465125,-67.85727416246927,-67.85727416246927,-67.85727416246927,-75.2976831534642,-75.2976831534642,-75.2976831534642,7.4404089909949285,7.4404089909949285,7.4404089909949285,0.0,0.0,0.0,144.77093700508232
2008-12-01,212.34338778864404,163.98224662142894,187.00844739743064,212.34338778864404,212.34338778864404,-16.716127327271508,-16.716127327271508,-16.716127327271508,-47.10972258194267,-47.10972258194267,-47.10972258194267,24.196768819722347,24.196768819722347,24.196768819722347,0.49731264596951436,0.49731264596951436,0.49731264596951436,-36.210103788242016,-36.210103788242016,-36.210103788242016,-39.13176844352232,-39.13176844352232,-39.13176844352232,2.921664655280303,2.921664655280303,2.921664655280303,0.0,0.0,0.0,176.13328400040203
