Date,Price,Open,High,Low,Vol.,Change %
24-Jul-18,540,540,540,540,-,0.00%
23-Jul-18,540,540,540,540,-,0.00%
20-Jul-18,540,540,540,540,-,0.00%
19-Jul-18,540,540,540,540,-,0.00%
18-Jul-18,540,540,540,540,-,0.00%
17-Jul-18,540,540,540,540,-,0.00%
16-Jul-18,540,540,540,540,-,0.00%
13-Jul-18,540,540,540,540,0.03K,-1.28%
12-Jul-18,540,547,547,547,-,0.00%
11-Jul-18,547,547,547,547,0.04K,-1.97%
10-Jul-18,547,558,558,558,0.03K,1.82%
9-Jul-18,558,548,548,548,-,0.00%
6-Jul-18,548,548,548,548,0.06K,0.00%
5-Jul-18,548,548,548,548,-,0.00%
4-Jul-18,548,548,548,548,-,0.00%
3-Jul-18,548,548,548,548,-,-0.03%
2-Jul-18,548,548.17,548.17,548.17,-,-0.42%
29-Jun-18,548.17,550.5,550.5,550.5,-,0.00%
28-Jun-18,550.5,550.5,550.5,550.5,0.01K,0.00%
27-Jun-18,550.5,550.5,550.5,550.5,-,0.00%
26-Jun-18,550.5,550.5,550.5,550.5,0.01K,0.00%
25-Jun-18,550.5,550.5,550.5,550.5,0.08K,0.73%
22-Jun-18,550.5,546.5,546.5,546.5,-,0.00%
21-Jun-18,546.5,546.5,546.5,546.5,-,0.46%
20-Jun-18,546.5,544,544,544,-,0.00%
19-Jun-18,544,544,544,544,-,0.00%
18-Jun-18,544,544,544,544,-,0.00%
15-Jun-18,544,544,544,544,0.06K,-1.09%
14-Jun-18,544,550,550,550,-,0.00%
13-Jun-18,550,550,550,550,-,0.00%
12-Jun-18,550,550,550,550,-,0.00%
11-Jun-18,550,550,550,550,0.04K,0.73%
8-Jun-18,550,546,546,546,-,0.00%
7-Jun-18,546,546,546,546,-,0.00%
6-Jun-18,546,546,546,546,0.05K,2.25%
5-Jun-18,546,534,534,534,-,0.00%
4-Jun-18,534,534,534,534,0.02K,-3.14%
1-Jun-18,534,551.31,551.31,551.31,-,-0.66%
31-May-18,551.31,555,555,555,-,0.00%
30-May-18,555,555,555,555,-,0.00%
29-May-18,555,555,555,555,-,0.00%
25-May-18,555,555,555,555,-,0.00%
24-May-18,555,555,555,555,-,0.00%
23-May-18,555,555,555,555,-,0.00%
22-May-18,555,555,555,555,-,0.00%
21-May-18,555,555,555,555,-,-1.94%
18-May-18,555,566,566,566,0.01K,0.18%
17-May-18,566,565,565,565,-,-0.09%
16-May-18,565,565.5,565.5,565.5,0.03K,0.00%
15-May-18,565.5,565.5,565.5,565.5,0.03K,1.34%
14-May-18,565.5,558,558,558,-,0.36%
11-May-18,558,556,556,556,-,0.00%
10-May-18,556,556,556,556,-,0.00%
9-May-18,556,556,556,556,-,0.00%
8-May-18,556,556,556,556,-,0.00%
4-May-18,556,556,556,556,-,0.00%
3-May-18,556,556,556,556,-,0.00%
2-May-18,556,556,556,556,-,0.13%
1-May-18,556,555.28,555.28,555.28,-,0.05%
30-Apr-18,555.28,555,555,555,-,0.00%
27-Apr-18,555,555,555,555,0.31K,0.00%
26-Apr-18,555,555,555,555,0.54K,0.00%
25-Apr-18,555,555,555,555,-,0.00%
24-Apr-18,555,555,555,555,-,0.00%
23-Apr-18,555,555,555,555,-,0.00%
20-Apr-18,555,555,555,555,-,0.00%
19-Apr-18,555,555,555,555,-,0.00%
18-Apr-18,555,555,555,555,-,0.00%
17-Apr-18,555,555,555,555,-,0.00%
16-Apr-18,555,555,555,555,-,0.00%
13-Apr-18,555,555,555,555,0.02K,0.82%
12-Apr-18,555,550.5,550.5,550.5,-,0.00%
11-Apr-18,550.5,550.5,550.5,550.5,-,0.00%
10-Apr-18,550.5,550.5,550.5,550.5,-,1.76%
9-Apr-18,550.5,541,541,541,-,0.00%
6-Apr-18,541,541,541,541,0.08K,-1.28%
5-Apr-18,541,548,548,548,0.02K,-0.36%
4-Apr-18,548,550,550,550,-,-5.85%
3-Apr-18,550,584.17,584.17,584.17,-,0.11%
29-Mar-18,584.17,583.5,583.5,583.5,0.02K,0.17%
28-Mar-18,583.5,582.5,582.5,582.5,0.02K,-0.43%
27-Mar-18,582.5,585,585,585,0.00K,-0.34%
26-Mar-18,585,587,587,587,0.09K,-0.17%
23-Mar-18,587,588,588,588,0.01K,-0.84%
22-Mar-18,588,593,593,593,0.15K,-0.17%
21-Mar-18,593,594,594,594,0.05K,0.00%
20-Mar-18,594,594,594,594,-,0.00%
19-Mar-18,594,594,594,594,-,0.00%
16-Mar-18,594,594,594,594,0.02K,0.34%
15-Mar-18,594,592,592,592,-,0.00%
14-Mar-18,592,592,592,592,-,0.00%
13-Mar-18,592,592,592,592,-,0.00%
12-Mar-18,592,592,592,592,-,0.00%
9-Mar-18,592,592,592,592,0.05K,-1.50%
8-Mar-18,592,601,601,601,0.02K,0.00%
7-Mar-18,601,601,601,601,0.03K,0.17%
6-Mar-18,601,600,600,600,-,-0.17%
5-Mar-18,600,601,601,601,0.38K,0.17%
2-Mar-18,601,600,600,600,0.22K,5.73%
1-Mar-18,600,567.48,567.48,567.48,-,-0.09%
28-Feb-18,567.48,568,568,568,-,0.00%
27-Feb-18,568,568,568,568,-,0.00%
26-Feb-18,568,568,568,568,-,0.00%
23-Feb-18,568,568,568,568,-,-0.35%
22-Feb-18,568,570,570,570,-,0.00%
21-Feb-18,570,570,570,570,-,0.00%
20-Feb-18,570,570,570,570,-,0.00%
19-Feb-18,570,570,570,570,-,-0.26%
16-Feb-18,570,571.5,571.5,571.5,0.10K,0.00%
15-Feb-18,571.5,571.5,571.5,571.5,-,0.00%
14-Feb-18,571.5,571.5,571.5,571.5,-,0.00%
13-Feb-18,571.5,571.5,571.5,571.5,0.12K,0.09%
12-Feb-18,571.5,571,571,571,0.09K,1.42%
9-Feb-18,571,563,563,563,0.02K,0.00%
